n,n-gram,frequency
1,t,0.07632525622751646
1,h,0.05342126895781956
1,e,0.10579424873865925
1, ,0.17743237026478728
1,g,0.017753041169860553
1,i,0.05530668114663228
1,r,0.05256906264847621
1,l,0.035351478540238464
1,s,0.04993702723289366
1,c,0.016923459806782958
1,o,0.06489211671455614
1,u,0.02320942404428456
1,n,0.05166783562222373
1,a,0.06135508344834348
1,p,0.013861550412151105
1,m,0.020694284184408395
1,w,0.020026848269568694
1,k,0.007794293988551777
1,v,0.006621567607110267
1,y,0.019257600096533104
1,d,0.03650157997541423
1,f,0.015622525396502183
1,b,0.011670701448750726
1,x,0.0012896219371478993
1,j,0.0037859076751359383
1,q,0.000595790251664819
1,z,0.0003393741939862893
2,th,0.02524576440554615
2,he,0.027640246914511318
2,e ,0.035626883062524276
2, g,0.004905861014430999
2,gi,0.0021720030317542317
2,ir,0.004498610445977081
2,rl,0.0021003570984151165
2,l ,0.00529425738990094
2, s,0.015245500446844374
2,sc,0.0011048557088610936
2,co,0.003616234214326924
2,ou,0.010256680983283872
2,ut,0.0046532148284456985
2,ts,0.001825085880849042
2,s ,0.016727440015385023
2, o,0.009046241793712504
2,on,0.007956469439238592
2,n ,0.011746162229018111
2, t,0.028828061072501913
2, r,0.0043289227091212815
2,ra,0.002564170245820968
2,an,0.011621724555323858
2,nc,0.00205510703525357
2,ch,0.002669753726531243
2,h ,0.0044043394810571925
2, c,0.005614778670628561
2,ha,0.008182719755046326
2,ap,0.0011953558351841865
2,pt,0.000641042561455242
2,te,0.006700780186505677
2,er,0.015162541997714872
2,r ,0.012368350597489376
2, i,0.010837390127190386
2,i ,0.002319065737029258
2,om,0.0034390048002775338
2,mm,0.0005957924982936955
2,me,0.005479028481143922
2,en,0.007387072811122466
2,ce,0.0030883168107755485
2,em,0.0024887534738850573
2,nt,0.006123841881195959
2,t ,0.019683777475272727
2, w,0.013914394422175548
2,we,0.003970693042425705
2,ee,0.003182587775695437
2,ek,0.0002639587017756879
2,k ,0.002458586765110693
2, e,0.003684109309069244
2,ev,0.001866565105413793
2,ve,0.005271632358320167
2,ry,0.0013876686036207592
2,y ,0.011995037576406617
2, d,0.0057731538916939735
2,do,0.0025038368282722396
2,oo,0.002835670624790247
2,or,0.008876554056856705
2, a,0.019016339043639915
2,nd,0.0076170939655269936
2,d ,0.021309008910491603
2,wi,0.0029073165581293622
2,in,0.014004894548498641
2,ow,0.0027602538528543365
2,w ,0.0020023152948984327
2,of,0.004185630842443051
2,f ,0.004932256884608568
2, m,0.008216657302417484
2,mi,0.0019268985229625216
2,is,0.005298028228497735
2,ss,0.0020098569720920236
2,al,0.004732402438978404
2,ll,0.004841756758285475
2,le,0.004291214323153326
2,ns,0.0018137733650586555
2, b,0.007564302225171856
2,bo,0.0021342946457862766
2,oa,0.00020739612282375477
2,ar,0.007055239014604458
2,rd,0.0009992722281508184
