n,n-gram,frequency
1,e,0.1514179546185755
1,i,0.06963413406161048
1,n,0.08986641975975695
1,l,0.0361862706332229
1,t,0.04898678933421093
1,u,0.03283387078156352
1,g,0.02848925881263646
1, ,0.14727227626721942
1,c,0.02666447266627535
1,h,0.04307281216000157
1,m,0.021654292668191005
1,d,0.04590700221774144
1,b,0.01658025743483696
1,r,0.059304321771442466
1,f,0.011766555083736318
1,s,0.056622401890114964
1,w,0.015347360200014244
1,z,0.009575829319868065
1,a,0.04359102195392108
1,k,0.009958960731486279
1,o,0.019240073580878796
1,j,0.002809630351866906
1,v,0.00725002517369852
1,p,0.004813702351100643
1,y,0.00035120379398336323
1,x,0.0003610276763325482
1,q,0.0004420747057133244
2,ei,0.018589287029987474
2,in,0.014782523270378467
2,nl,0.0004641795810103888
2,le,0.0076822948645528895
2,it,0.00627747623842621
2,tu,0.0014858658545570647
2,un,0.012606527985853575
2,ng,0.006442026671906084
2,g ,0.0034162634771716972
2, i,0.00910676130363239
2,ic,0.00999091288650932
2,ch,0.02420610555787509
2,h ,0.007503008571358401
2, n,0.005334381216690817
2,ne,0.008625389886288283
2,eh,0.004226735761475551
2,hm,0.0012942996782670628
2,me,0.004698283272343247
2,e ,0.02122700591890365
2, d,0.022987941154800205
2,de,0.019559397794532998
2,en,0.034381216690817104
2,n ,0.03339145811331876
2, b,0.00620134096323403
2,be,0.010398605005280349
2,eg,0.0029348920598275905
2,gr,0.0013851708131738586
2,ri,0.002878404597588231
2,if,0.0005059311835351328
2,ff,0.0007736326350173147
2,f ,0.0015693690596065525
2,er,0.030952673330549893
2,r ,0.01903136282142594
2, l,0.003087162610211951
2,eb,0.0024240489230542527
2,ns,0.0053687648893582535
2,sw,0.00043225188496205517
2,we,0.0062185327995677485
2,is,0.006105557875089029
2,sh,0.0002480536385293612
2,he,0.009875481985411499
2,t ,0.019436598963577866
2, h,0.004663899599675811
2,hi,0.0022816022791463026
2,ie,0.012913525063241399
2, g,0.00775843013974507
2,gn,0.0003905002824373112
2,nz,0.0013188594444580887
2,zl,0.0001277107841933345
2,li,0.0058304884937495395
2,im,0.0019377655524719405
2,m ,0.005577522901981973
2,mm,0.0014760419480806543
2,ma,0.002819461158729769
2,an,0.008362600388044306
2,nt,0.0035930937937470836
2,te,0.011810791561264336
2,si,0.005469459930741459
2,nn,0.0037601002038460596
2,nm,0.0006680256403959034
2,ml,0.00037576442272269566
2,em,0.004455141587052091
2, k,0.0029348920598275905
2,ku,0.00042733993172385
2,st,0.010214406758847655
2,da,0.006375715303190314
2,as,0.003733084461035931
2,s ,0.013166490655008965
2, m,0.005884519979369797
2,mg,0.0006164501313947491
2,gl,0.001969693248520274
2,hs,0.0006434658742048776
2, a,0.011457130928113565
2,ge,0.015607731414396935
2, u,0.00850995898519046
2,nd,0.01262126384556819
2,dg,0.00010315101800230862
2,lc,0.002112139892428224
2,ck,0.0016135766387503992
2,kl,0.0010241422501657785
2,du,0.0016283124984650145
2,ur,0.0032664489034064394
2,rc,0.0015939288257975784
2,hz,5.157550900115431e-05
2,zu,0.0045189969791487586
2,uf,0.002087580126237198
2,fh,0.0005624186457744922
2,hr,0.004437949750718373
2,re,0.008342952575091486
2,di,0.0075054645479775035
2, z,0.004744946828106196
2,u ,0.002615615099344254
2, w,0.010285630080801631
2,el,0.007390033646879682
2,au,0.005695409779698898
2,uc,0.0016160326153695018
2, e,0.01121644521944151
2,eu,0.0013655230002210378
2,ud,0.00030945305400692584
2,dm,0.00010806297124051379
2,mo,0.0004911953238205172
2,on,0.003234521207358106
2,no,0.0011420291278827026
2,ol,0.0017658471891347594
2,lo,0.0009799346710219318
2,og,0.0005624186457744922
2,gi,0.0005501387626789793
2,na,0.0024829923619127145
2,rd,0.002677014514821819
2,kn,0.00038804430581820863
2, s,0.013996610752265638
2,wr,0.0004862833705823121
2,mn,0.00034629270329346464
2,ac,0.00221283493381143
2,nw,0.0005722425522509026
2,su,0.0007269690792543655
2,se,0.009671635926025985
2,es,0.01167080089397549
2,nu,0.001947589458948351
2,wi,0.00449198123633863
2,ed,0.0027605177198713068
2,ee,0.000456811651153081
2,al,0.005869784119655181
2,ll,0.004646707763342093
2,nf,0.0006582017339194931
2,fa,0.0010658938526905224
2,ls,0.0025493037306284845
2,ef,0.0009087113490679569
2,fi,0.0004911953238205172
2,ni,0.003733084461035931
2,so,0.0039369305204214455
2, r,0.0018911019967089912
2, o,0.0020016209445686078
2,ob,0.000540314856202569
2,bj,0.00017191836333718102
2,je,0.0018960139499471964
2,ek,0.0008620477933050077
2,kt,0.0011101014318343689
