n,n-gram,frequency
1, ,0.15649735911346493
1,a,0.09993589782974217
1,l,0.061411107902589274
1,f,0.008923104019595193
1,r,0.053210945291972074
1,e,0.09608567162895289
1,d,0.030433170927515397
1,o,0.07850570263556175
1,i,0.08600135577114092
1,n,0.05991197727547345
1,t,0.05019834808912045
1,b,0.009048031571854846
1,z,0.0071126785081602265
1,q,0.004423664145587702
1,u,0.027803548352082708
1,g,0.01646790897901422
1,s,0.043685731430338555
1,p,0.023515051722054627
1,v,0.019490746145165817
1,c,0.03551424071696127
1,m,0.02346385190555477
1,h,0.008144866808797358
1,k,4.915182383986336e-05
1,w,4.710383117986905e-05
1,x,8.191970639977226e-06
1,y,0.00010854361097969825
1,j,2.0479926599943064e-06
2, a,0.011333614591567988
2,al,0.008572914832002818
2,lf,0.0001679357420507002
2,fr,0.0011775981912091782
2,re,0.010629103673696757
2,ed,0.0023941083226496165
2,do,0.005103608160857865
2,o ,0.029104083296128055
2, o,0.0020889567913623683
2,or,0.009261041775039834
2,ri,0.009015282152526614
2,ia,0.006397942172760822
2,an,0.011050991025677784
2,ni,0.004040697793488189
2,i ,0.028202964680246252
2,ot,0.0017018853859040472
2,tt,0.00674200564427933
2,to,0.009281521743582603
2,on,0.01129265465448245
2,ne,0.007061493153546516
2,e ,0.035737545107130717
2, d,0.016340966900274843
2,di,0.010319856148700955
2, b,0.0028078036872135363
2,ba,0.001681405417361279
2,nz,0.0020131809077541256
2,zo,0.0007618548297909814
2,ol,0.00715570100884325
2,le,0.008431603049057717
2, q,0.0036065224603815007
2,qu,0.004423673205237956
2,ua,0.0034508746994564615
2,ar,0.007661556231849628
2,rt,0.0022835164925186675
2,te,0.008835058429350253
2,et,0.003530746576773258
2, g,0.004999160321289746
2,gi,0.003936249953920071
2,iu,0.000718846895851168
2,us,0.0013291499584256639
2,s ,0.0006123510594287727
2, l,0.011751405949840461
2,la,0.014940137051949489
2,at,0.006756341622259268
2,er,0.012810220323501584
2,rz,0.00024166362880466617
2,za,0.0022446045522874075
2,a ,0.03893446819665685
2,  ,0.0021278687315936283
2, f,0.004986872340164085
2,fi,0.0019435490147087133
2,ig,0.001521661662727686
2,gl,0.003352570850451174
2,li,0.0077311881248950404
2, t,0.005382135733039514
2,ti,0.006787061575073421
2,ip,0.0007393268643939363
2,po,0.0038830020357088733
2,og,0.001462269753953658
2,gr,0.0012492780811088674
2,ra,0.011182062824351502
2,af,0.0005734391191975129
2,ie,0.002924539507907316
2,it,0.004147193629910584
2,il,0.006156278543956156
2,ib,0.0008110067542936254
2,br,0.0010506223862440148
2,ai,0.0012472300842545905
2, p,0.01203607751258494
2,pr,0.004458489151760663
2,ro,0.0067747735939477595
2,op,0.0019210210493116682
2,t ,0.0014950377036220873
2, r,0.0037949381709749693
2,is,0.004018169828091144
2,se,0.007004149241626765
2,rv,0.0006143990562830496
2,va,0.007225332901888663
2,tu,0.003190779098963304
2,ut,0.0028364756431734123
2, i,0.009983984664599556
2,ir,0.0019476450084172671
2,pi,0.0035594185327331336
2,de,0.008421363064786332
2,el,0.010022896604830816
2,ll,0.010594287727174051
2, s,0.016048103350113255
2, e,0.00958052928430702
2,b ,1.8431971688491486e-05
2,so,0.004962296377912763
2,oc,0.0020008929266284647
2,ci,0.003954681925608562
2,ic,0.004055033771468127
2,ca,0.004911096456555843
2,tr,0.005128184123109187
2,ce,0.003133435187043553
2,es,0.006387702188489439
2,ap,0.001873917121663301
2,pa,0.0036065224603815007
2,as,0.0037580742275979866
2,n ,0.007565300379698617
2, c,0.013760490863886032
2, v,0.0051957680193003225
2,ls,0.0003071995281415248
2,en,0.010172400375193024
2,io,0.007055349162983685
2,em,0.0019435490147087133
2,mb,0.0006512629996600325
2, h,0.0005734391191975129
2,ho,0.0001290238018194404
2,in,0.009029618130506551
2,r ,0.002367484363544018
2,l ,0.007254004857848538
2,nd,0.0049172404471186735
2,pe,0.005511159534858955
2,nn,0.0014807017256421495
2,na,0.006922229367455692
2,lo,0.0054579116166477565
2,of,0.0005672951286346824
2,lc,0.000718846895851168
2,ch,0.007041013185003748
