n,n-gram,frequency
1,e,0.10795212297823238
1,l,0.048811875378928636
1, ,0.1734407697874088
1,d,0.04287809743599773
1,o,0.07576421349083726
1,c,0.03353347284426278
1,t,0.03498855879994524
1,r,0.05495687547671667
1,n,0.05429778412313469
1,i,0.04496098257417223
1,u,0.03520955975826798
1,a,0.10584772447243355
1,p,0.021710899454342767
1,g,0.008928047564100056
1,s,0.06528720345778491
1,m,0.02383289980637969
1,h,0.008761807905184722
1,b,0.014793373882771703
1,v,0.00871095812716356
1,q,0.010819268154348635
1,y,0.009747511294518002
1,f,0.006172380747491737
1,j,0.004431753730613522
1,z,0.003399112084645323
1,x,0.0007314544992274746
1,w,1.9557606931215895e-06
1,k,2.9336410396823846e-05
2,el,0.010408578765482322
2,l ,0.009231208525568687
2, d,0.019002208058140967
2,do,0.010179754316861233
2,oc,0.0024095018863348775
2,ct,0.0007471020459252624
2,to,0.007132673197616314
2,or,0.007879775243541576
2,r ,0.008356981785965042
2, c,0.013821387849617355
2,ce,0.002740026089898672
2,en,0.01621719938432533
2,nt,0.008186830272887823
2,te,0.007746783256308808
2,no,0.006311252100002151
2,o ,0.028325337516061717
2, i,0.0023430058927184933
2,i ,0.002174810144159403
2,in,0.006297561748375249
2,tr,0.004504125685250993
2,ro,0.007001636974901674
2,od,0.002256952253920819
2,du,0.0006982079329720384
2,uc,0.0009485457912925452
2,cc,0.00022686868410295925
2,ci,0.0059807278964383575
2,n ,0.015753683193528767
2,  ,0.004410248988380803
2, l,0.016451891126500806
2,la,0.013477173294426659
2,a ,0.0324167968879875
2, p,0.012624459964522432
2,pe,0.004445452749707124
2,ed,0.002937558306229697
2,da,0.0064911824356700155
2,ag,0.0008683594460492579
2,go,0.0019362068729476697
2,og,0.000334435732600052
2,ga,0.0018403744115593507
2,co,0.009332908280511393
2,on,0.008200520624514726
2,pa,0.005264918082803158
2,as,0.011902782857332846
2,so,0.003365870735699939
2,de,0.01751387125984483
2,ec,0.00394673279758424
2,id,0.003297418977565425
2,di,0.004224451359158552
2, a,0.010001779745711497
2,ac,0.003792227400652052
2,om,0.003543845306849674
2,me,0.0043398414657281606
2,et,0.0017347631275803869
2,e ,0.031450649216031794
2, e,0.017015151307721944
2, h,0.005204289382741161
2,hr,8.60536387976742e-05
2,oe,0.000481118071459724
2,em,0.0022256600216307557
2,mp,0.001955764518128959
2,pi,0.001388592807871561
2,na,0.005626734518657015
2,ad,0.0067689009972443275
2,cu,0.0029336467771934388
2,ue,0.011830419570162074
2,es,0.015057431025074857
2,st,0.007203080720268957
2,ta,0.00903758783827392
2,lo,0.006878423810259549
2,ob,0.0013670793981721424
2,bs,0.0003305242035637941
2,se,0.007750694785345066
2,er,0.012657707961330623
2,rv,0.00041853360687959726
2,va,0.0018345071180049636
2,at,0.0021278717957243076
2,ri,0.004795534598452208
2,io,0.0029923197127373078
2,s ,0.026260050184917536
2,ar,0.010085877619991043
2,ra,0.012753540422718942
2,ir,0.0026109456317021606
2,rl,0.0007881731008059705
2,pr,0.0028202124351419593
2, u,0.0037668024619163755
2,un,0.005040005163218328
2,ch,0.002546405402603905
2,hi,0.0008585806234586131
2,iq,0.0004948084230866267
2,qu,0.010817333549771274
2,ui,0.0021337390892786946
2,it,0.002354740479827267
2,al,0.008239635914877304
2,li,0.003027523474063629
2,ho,0.0018560205277043823
2,ma,0.004803357656524724
2,ot,0.0014159735111253665
2,ca,0.006939052510321547
2,rn,0.0008057749814691312
2,ne,0.002957115951410986
2, y,0.0073967014075637235
2,y ,0.0075081799850970745
2,eo,0.0012868930529288552
2, v,0.0043378857012100315
2,ve,0.0029590717159291152
2,ti,0.003508641545523353
2, q,0.0074495070495532055
2,ub,0.00041071054880708143
2,br,0.0026207244542928053
2, t,0.00721481530737773
2,an,0.010604155217295217
2,ni,0.0020965795634342445
2,ns,0.0014061946885347216
2,si,0.004482612275551574
2,ig,0.001388592807871561
2,gn,0.0003774625519988891
2,if,0.0002777185615743122
2,fi,0.0010326436655720905
2,ic,0.002923867954602794
2, n,0.005329458311901414
2,ng,0.0007920846298422285
2,eu,0.00016232845500470361
2, s,0.01380965326250858
2,os,0.013095799213391511
2,ll,0.003845033042641534
2,am,0.00334435732600052
2,rs,0.0013338314013639503
2,sp,0.0018892685245125746
2,pu,0.00167217866300026
2,cr,0.0010209090784633168
2,re,0.008978914902730051
2,ee,0.00043417972302462897
2,le,0.007118982845989412
2,he,0.0012732027013019525
2,aj,0.0007744827491790678
2,je,0.0007412347523708756
2,ei,0.00028554161964682804
2,nm,0.00031878961645502037
2,mo,0.004355487581873192
2,rt,0.002204146611931337
2,au,0.0006121542941743642
2,nq,0.00022686868410295925
2,t ,0.000621933116765009
2,rr,0.001584169259684457
2,oj,0.0004596046617603054
2,ja,0.001337742930400208
2,mb,0.0013044949335920158
2, m,0.008634700347539355
2,ms,0.0013162295207007895
2,rm,0.001245821998048147
2,ya,0.0007862173362878416
2,of,0.00032270114549127826
2,fo,0.0005319679489310769
2,nv,0.00035203761326321265
2,eb,0.0006434465264644276
2,hu,0.0005006757166410136
2,um,0.0007079867555626832
2,po,0.004926570821166848
2,rq,0.00043026819398837103
2,ha,0.0038685022168590813
2,ay,0.0008546690944223552
2,ie,0.005466361828170441
2,lu,0.0008703152105673869
2,ud,0.0010130860203908009
2,mi,0.0035340664842590293
2,nl,0.0002210013905485724
2, o,0.002346917421754751
2,jo,0.0015509212628762646
2,sa,0.005478096415279215
2,us,0.002530759286458873
2,su,0.004161866894578425
2,ua,0.0019362068729476697
2,nf,0.000766659691106552
2,fu,0.0011089184817791198
2,nd,0.005405733128108443
2,im,0.0020770219182529547
2,sc,0.0016135057274563912
2,il,0.0020007471020459253
2,nc,0.002474042115433133
2,mn,0.00019948798084915383
2,ol,0.002397767299226104
2,oi,8.60536387976742e-05
2, b,0.00240559035729862
2,bu,0.0007295001652621018
2,rd,0.001200839414131181
2,aa,0.0006141100586924932
2,u ,0.00334435732600052
2,lg,0.000819465333096034
2,gi,0.0006258446458012669
2,ur,0.0018208167663780611
2,is,0.0032524363936484594
2,ia,0.0031390020515969794
2,iv,0.0007803500427334548
2, f,0.0035731817746216085
2,fe,0.0015118059725136854
2,op,0.000864447917013
2,ps,8.018634524328732e-05
2,oq,0.0002346917421754751
2,ab,0.006872556516705162
2,bi,0.00157830196613007
2,uy,0.0005124103037497873
2,yo,0.0006610484071275882
2, g,0.0019420741665020565
2,av,0.0006630041716457172
2,bo,0.0008390229782773235
2,oa,0.000530012184412948
2,ao,0.0003109665583825045
2,ba,0.006233021519276993
2,up,0.00027185126801992536
2, r,0.003367826500218068
2,eg,0.001678045956554647
2,az,0.0006864733458632647
2,zo,0.0006336677038737828
2,dr,0.001431619627270398
2,tu,0.0016643556049277444
2,ez,0.0009505015558106741
2,za,0.0013749024562446583
2,ae,0.0005143660682679163
2,ug,0.00026598397446553844
2,vi,0.0023390943636822353
2,lb,0.0001251689291602534
2,oz,0.0003755067874807602
2,sr,8.800940331580316e-05
2,rg,0.0005593486521848824
2,rb,0.00033834726163630997
2,ap,0.0013573005755814977
2,tm,8.214210976141629e-05
2,mu,0.0014922483273323958
2,ul,0.00114607800762357
2,ai,0.00028554161964682804
2,fr,0.0005867293554386877
2,vo,0.0011734587108773755
2,lt,0.0009172535590024818
2,ev,0.0009544130848469321
2,vu,0.0001681957485590905
2,sv,0.00012712469367838234
2,ib,0.0010228648429814456
2,bl,0.0011382549495510543
2,lv,0.00040093172621643664
2,ge,0.0006473580555006855
2,rc,0.0006825618168270068
2,d ,0.0016232845500470361
2,be,0.001193016356058665
2,iz,0.0006747387587544909
2,z ,0.0009348554396656425
2,eq,0.0001584169259684457
2,ea,0.0014687791531148484
2,gr,0.0014766022111873643
2,lc,0.0002581609163930226
2,nj,0.0001349477517508982
2,ju,0.0005221891263404321
2,fa,0.0009465900267744162
2,sd,0.0004889411295322398
2,pl,0.0007881731008059705
2,aq,0.0013123179916645317
2,yv,1.955764518128959e-05
2,lz,6.25844645801267e-05
2,zn,0.0001056112839789638
2,oo,4.30268193988371e-05
2,eh,0.00015646116145031673
2,ls,0.0002992319712737308
2,tn,0.0002346917421754751
2,gu,0.0017132497178809682
2,uj,0.0002698955035017964
2,np,0.0001349477517508982
2,ep,0.0008233768621322918
2,dj,2.542493873567647e-05
2, z,0.00011734587108773755
2, j,0.0008292441556866787
2,ji,9.192093235206108e-05
2,fs,3.911529036257918e-05
2,sf,0.00017993033566786424
2,ou,3.7159525844450226e-05
2,lp,0.0002210013905485724
